Monastery Name,Location,GPS Coordinates,Year Established,Founder/Lineage,Historical Background,Architectural Features,Festivals,Current Status,Image URL,Reference
Mangan District Monastery,"Mangan, North Sikkim","27°30'N, 88°33'E",1960,District headquarters,Administrative center monastery for North Sikkim,District headquarters design,Administrative Buddhist ceremonies,Active,wikimedia.org/commons/,North Sikkim administration
Namtse Ahaley Dechen Choling Monastery,South Sikkim,"27°25'N, 88°39'E",1948,Dechen Choling tradition,Post-independence monastery,Post-war design,Dechen Choling celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Sorok Tamang Monastery,South Sikkim,"27°26'N, 88°40'E",1962,Tamang community,Tamang ethnic community monastery,Tamang traditional architecture,Tamang Buddhist celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Serdup Choling Monastery,South Sikkim,"27°27'N, 88°41'E",1967,Serdup Choling lineage,1960s monastery establishment,Modern traditional design,Serdup Choling festivals,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Rabong Kunphenling Tsechu Monastery,"Rabong, South Sikkim","27°28'N, 88°42'E",1972,Kunphenling Tsechu tradition,1970s monastery with festival focus,Festival-oriented design,Tsechu (10th day) celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Kewzing Tashi Gyephelling Monastery,"Kewzing, South Sikkim","27°29'N, 88°43'E",1974,Tashi Gyephelling tradition,Mid-1970s establishment,1970s monastery design,Tashi Gyephelling celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Bon Monastery,South Sikkim,"27°30'N, 88°44'E",1980,Bon tradition,Rare Bon tradition monastery in Sikkim,Bon architectural style,Bon religious celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Yangang Changchub Tamu Monastery,"Yangang, South Sikkim","27°31'N, 88°45'E",1982,Changchub Tamu tradition,1980s Tamu community monastery,Tamu community design,Tamu Buddhist celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Burmiok Norbugang Monastery,"Bermoik, South Sikkim","27°32'N, 88°46'E",1992,Norbugang tradition,1990s monastery establishment,Modern traditional architecture,Norbugang celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Phurba Chholing Monastery,East Sikkim,"27°15'N, 88°58'E",1923,Phurba Chholing tradition,1920s monastery with Phurba deity focus,Phurba shrine architecture,Phurba deity celebrations,Active,wikimedia.org/commons/,Local monastery records
Deorali Monastery,"Deorali, East Sikkim","27°18'30""N, 88°35'45""E",1965,Deorali community,Monastery on Gangtok-Pakyong road,Roadside monastery design,Community Buddhist festivals,Active,wikimedia.org/commons/,East Sikkim records
Saramsa Monastery,"Saramsa, East Sikkim","27°16'30""N, 88°34'15""E",1978,Garden monastery tradition,Monastery near botanical garden,Garden-integrated design,Nature blessing ceremonies,Active,wikimedia.org/commons/,Botanical garden records
Tadong Monastery,"Tadong, East Sikkim","27°17'45""N, 88°35'30""E",1982,Tadong community,Suburban Gangtok monastery,Suburban monastery design,Urban Buddhist celebrations,Active,wikimedia.org/commons/,Gangtok municipal records
Ranipool Monastery,"Ranipool, East Sikkim","27°15'45""N, 88°33'45""E",1970,Ranipool community,Highway junction monastery,Junction point design,Traveler blessing ceremonies,Active,wikimedia.org/commons/,Highway records
Pakyong Monastery,"Pakyong, East Sikkim","27°12'30""N, 88°54'30""E",1963,Airport town community,Monastery in airport town vicinity,Airport proximity design,Safe travel blessings,Active,wikimedia.org/commons/,Pakyong town records
Penlong Monastery,East Sikkim,"27°25'N, 88°48'E",1991,Penlong tradition,1990s establishment,Modern traditional design,Penlong lineage celebrations,Active,wikimedia.org/commons/,Contemporary monastery records
Sichey Monastery,"Sichey, East Sikkim","27°19'15""N, 88°37'45""E",1987,Sichey community,Gangtok vicinity monastery,Urban periphery design,Local community festivals,Active,wikimedia.org/commons/,Sichey community records
Vajra Vidya Monastery,East Sikkim,"27°26'N, 88°49'E",1998,Vajra Vidya tradition,Late 20th century Vajrayana monastery,Vajrayana architectural elements,Vajrayana celebrations,Active,wikimedia.org/commons/,Vajrayana monastery records
Development Area Monastery,"Development Area, East Sikkim","27°20'30""N, 88°36'45""E",1974,Government area community,Administrative area monastery,Government area design,Administrative Buddhist ceremonies,Active,wikimedia.org/commons/,Government records
Chakung Samten Monastery,West Sikkim,"27°13'30""N, 88°13'30""E",1865,Samten tradition,19th century Samten lineage monastery,Victorian-era influenced design,Samten lineage festivals,Active,wikimedia.org/commons/,Historical records
Bermoik Hilltop Monastery,"Bermoik, West Sikkim","27°14'30""N, 88°30'30""E",1885,Hilltop community,Hilltop monastery with valley views,Hilltop vantage design,Valley blessing ceremonies,Active,wikimedia.org/commons/,Bermoik records
Temi Tea Garden Monastery,"Temi, West Sikkim","27°13'15""N, 88°19'15""E",1969,Tea garden workers,Monastery serving tea garden community,Tea plantation setting design,Harvest blessing ceremonies,Active,wikimedia.org/commons/,Tea garden records
Chumbung Monastery,West Sikkim,"27°27'N, 88°24'E",1963,Chumbung tradition,1960s establishment,Remote area design,Chumbung celebrations,Active,wikimedia.org/commons/,Remote area records
Rimbi Monastery,"Rimbi, West Sikkim","27°18'45""N, 88°12'45""E",1975,Rimbi waterfall community,Monastery near famous Rimbi waterfalls,Waterfall vicinity design,Water blessing ceremonies,Active,wikimedia.org/commons/,Waterfall area records
Sewaro Monastery,West Sikkim,"27°28'N, 88°25'E",1981,Sewaro tradition,1980s remote monastery,Remote traditional design,Remote area celebrations,Active,wikimedia.org/commons/,Remote monastery records
Kaluk Monastery,"Kaluk, West Sikkim","27°16'15""N, 88°11'15""E",1990,Kaluk village community,Village monastery with Kanchenjunga views,Mountain view oriented design,Mountain worship ceremonies,Active,wikimedia.org/commons/,Kaluk village records
Hee Bermiok Monastery,West Sikkim,"27°29'N, 88°26'E",1973,Hee Bermiok community,1970s community monastery,Community-centered design,Community unity celebrations,Active,wikimedia.org/commons/,Community records
Chopta Valley Monastery,"Chopta Valley, North Sikkim","27°60'N, 88°52'E",1955,Valley hermit tradition,Remote valley monastery for meditation retreats,Valley hermitage design,Retreat completion ceremonies,Active retreat center,wikimedia.org/commons/,Retreat center records
Munshithang Monastery,North Sikkim,"27°61'N, 88°53'E",1948,Munshithang tradition,Post-independence high-altitude monastery,Extreme altitude design,High-altitude Buddhist celebrations,Active seasonal,wikimedia.org/commons/,High-altitude records
Shingba Rhododendron Monastery,"Shingba, North Sikkim","27°49'30""N, 88°41'30""E",1962,Nature sanctuary community,Monastery in rhododendron sanctuary,Forest sanctuary design,Flower blooming ceremonies,Active,wikimedia.org/commons/,Forest sanctuary records
Katao Monastery,"Katao, North Sikkim","27°48'45""N, 88°43'15""E",1971,Border area community,Near China border monastery,Border security compatible design,Border peace prayers,Active with restrictions,wikimedia.org/commons/,Border area records
Sebu Monastery,North Sikkim,"27°62'N, 88°54'E",1969,Sebu tradition,Remote northern monastery,Northern frontier design,Frontier Buddhist ceremonies,Active,wikimedia.org/commons/,Northern frontier records
Muguthang Monastery,North Sikkim,"27°63'N, 88°55'E",1952,Extreme north tradition,Northernmost monastery in Sikkim,Extreme climate design,Extreme weather survival prayers,Active seasonal,wikimedia.org/commons/,Extreme north records
Ralong Palchen Choling Monastery,"Ralong, South Sikkim","27°33'N, 88°47'E",1995,Palchen Choling tradition,1990s Palchen Choling establishment,Modern Choling design,Palchen Choling celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Suiram Risung Monastery,South Sikkim,"27°34'N, 88°48'E",1995,Risung tradition,1990s Risung lineage monastery,Contemporary traditional design,Risung celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Namthang Nyima Choling Monastery,"Namthang, South Sikkim","27°35'N, 88°49'E",1997,Nyima Choling tradition,Late 1990s Nyima Choling monastery,Late 20th century design,Nyima Choling celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Gagyong Monastery,South Sikkim,"27°36'N, 88°50'E",2005,Gagyong tradition,21st century Gagyong monastery,Modern Buddhist architecture,Gagyong celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Rabong Central Monastery,"Rabong, South Sikkim","27°37'N, 88°51'E",2006,Rabong town community,21st century town monastery,Town center design,Town Buddhist celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Jorethang Monastery,"Jorethang, South Sikkim","27°09'N, 88°23'E",1983,Border town community,Border trading town monastery,Trading town design,Trade prosperity blessings,Active,wikimedia.org/commons/,Border town records
Melli Monastery,"Melli, South Sikkim","27°07'N, 88°21'E",1977,Border community,Nepal border area monastery,Cross-border influence design,Cross-border Buddhist celebrations,Active,wikimedia.org/commons/,Cross-border records
Singtam South Monastery,South Sikkim,"27°38'N, 88°52'E",1988,Southern Singtam community,Southern branch of Singtam monastery tradition,Branch monastery design,Singtam tradition festivals,Active,wikimedia.org/commons/,Singtam records
Tathagata Tsal Monastery,"Ravangla, East Sikkim","27°16'N, 88°07'E",2013,Modern Tathagata tradition,Modern monastery at Tathagata Tsal Buddha Park,Contemporary Buddhist architecture with giant Buddha statue,"Buddha Purnima, modern Buddhist celebrations",Active tourist monastery,wikimedia.org/commons/,Buddha Park records
Hanuman Tok Monastery,"Hanuman Tok, East Sikkim","27°21'N, 88°37'E",1950,Hindu-Buddhist synthesis,Unique Hindu-Buddhist monastery at Hanuman temple site,Syncretic architecture combining Hindu and Buddhist elements,"Hanuman Jayanti, Buddhist ceremonies",Active syncretic site,wikimedia.org/commons/,Religious synthesis records
Ganesh Tok Monastery,"Ganesh Tok, East Sikkim","27°22'N, 88°38'E",1952,Hindu-Buddhist community,Small monastery-temple at Ganesh Tok viewpoint,Viewpoint monastery design,"Ganesh Chaturthi, Buddhist prayers",Active,wikimedia.org/commons/,Viewpoint records
Banjhakri Falls Monastery,"Banjhakri Falls, East Sikkim","27°18'N, 88°36'E",1995,Nature worship tradition,Monastery at sacred Banjhakri waterfall site,Waterfall sanctuary design,Water deity ceremonies,Active,wikimedia.org/commons/,Sacred falls records
Fambong Lho Wildlife Monastery,"Fambong Lho, East Sikkim","27°14'N, 88°59'E",1985,Wildlife sanctuary community,Monastery within wildlife sanctuary,Wildlife-compatible architecture,Animal welfare blessings,Active,wikimedia.org/commons/,Wildlife sanctuary records
Tsomgo Lake Monastery,"Tsomgo Lake, East Sikkim","27°23'N, 88°45'E",1960,Sacred lake tradition,High-altitude monastery at sacred Tsomgo Lake,Alpine lake monastery design,Lake blessing ceremonies,Active seasonal,wikimedia.org/commons/,Sacred lake records
Nathula Pass Monastery,"Nathula, East Sikkim","27°23'30""N, 88°50'30""E",1954,Border tradition,High-altitude border pass monastery,Border pass architecture,Border peace prayers,Active with military coordination,wikimedia.org/commons/,Border pass records
Kupup Lake Monastery,"Kupup, East Sikkim","27°24'N, 88°51'E",1965,Elephant lake tradition,Monastery at elephant-shaped lake,Lake-view architecture,Lake sanctification ceremonies,Active,wikimedia.org/commons/,Alpine lake records
Changu Narayan Monastery,East Sikkim,"27°27'N, 88°50'E",1973,Changu Narayan tradition,High-altitude Narayan worship monastery,High-altitude design,Narayan celebrations,Active,wikimedia.org/commons/,High-altitude records
Jelepla Pass Monastery,East Sikkim,"27°25'N, 88°53'E",1968,Pass guardian tradition,Historic trade pass monastery,Trade pass design,Trader blessing ceremonies,Active,wikimedia.org/commons/,Trade pass records
Khecheopalri Lake Monastery,"Khecheopalri, West Sikkim","27°17'15""N, 88°10'45""E",1200,Ancient sacred lake tradition,"Ancient monastery at wish-fulfilling lake, one of holiest sites",Sacred lake monastery architecture,"Lake consecration ceremonies, Maghe Sankranti",Active pilgrimage site,wikimedia.org/commons/,Sacred lake records
Rabdentse Palace Monastery,"Rabdentse, West Sikkim","27°18'30""N, 88°14'30""E",1670,Royal court tradition,Palace monastery of second capital of Sikkim,Royal palace ruins with monastery elements,Royal heritage ceremonies,Heritage site,wikimedia.org/commons/,Royal palace records
Norbugang Monastery,"Norbugang, West Sikkim","27°22'30""N, 88°14'15""E",1642,Coronation site tradition,Sacred coronation site of first Chogyal,Coronation ground monastery,Coronation anniversary ceremonies,Active heritage site,wikimedia.org/commons/,Coronation site records
Yuksam Heritage Monastery,"Yuksom, West Sikkim","27°22'45""N, 88°14'30""E",1980,Heritage preservation society,Modern monastery preserving Yuksom heritage,Heritage preservation design,Heritage celebration ceremonies,Active heritage center,wikimedia.org/commons/,Heritage preservation records
Dentam Singshore Monastery,"Dentam, West Sikkim","27°08'30""N, 88°19'30""E",1992,Bridge community,Monastery near India's highest bridge,Bridge-view monastery design,Engineering marvel blessings,Active,wikimedia.org/commons/,Bridge community records
Kanchenjunga Falls Monastery,"Pelling, West Sikkim","27°17'45""N, 88°13'15""E",1976,Waterfall community,Monastery at famous Kanchenjunga Falls,Waterfall-adjacent design,Water blessing ceremonies,Active,wikimedia.org/commons/,Waterfall records
Skywalk Monastery,"Pelling, West Sikkim","27°17'30""N, 88°13'45""E",2014,Modern tourism community,Ultra-modern monastery at skywalk site,Modern tourist-oriented design,Modern Buddhist celebrations,Active tourist monastery,wikimedia.org/commons/,Tourism development records
Chunga Choeling Monastery,West Sikkim,"27°30'N, 88°27'E",1967,Chunga Choeling tradition,1960s Choeling monastery,Remote Choeling design,Choeling celebrations,Active,wikimedia.org/commons/,Remote monastery records
Himalayan Monastics Retreat,West Sikkim,"27°31'N, 88°28'E",1998,International retreat community,Modern international Buddhist retreat center,International retreat design,International Buddhist gatherings,Active retreat center,wikimedia.org/commons/,International retreat records
Sikkim Himalayan Monastery,West Sikkim,"27°32'N, 88°29'E",2001,Himalayan Buddhism society,21st century Himalayan Buddhism center,Contemporary Himalayan design,Himalayan Buddhist ceremonies,Active,wikimedia.org/commons/,Himalayan Buddhism records
Zero Point Monastery,"Yumthang, North Sikkim","27°49'N, 88°44'E",1971,End-point tradition,Monastery at northernmost civilian point,End-of-road design,Extreme north celebrations,Active seasonal,wikimedia.org/commons/,Extreme point records
Hot Springs Monastery,"Yumthang, North Sikkim","27°48'30""N, 88°43'30""E",1934,Thermal spring tradition,Monastery at natural hot springs,Thermal spring integrated design,Healing water ceremonies,Active,wikimedia.org/commons/,Hot springs records
Rhododendron Valley Monastery,North Sikkim,"27°64'N, 88°56'E",1963,Flower valley tradition,Monastery in rhododendron blooming valley,Seasonal bloom architecture,Flower blessing ceremonies,Active seasonal,wikimedia.org/commons/,Flower valley records
Teesta Source Monastery,North Sikkim,"27°65'N, 88°57'E",1958,River source tradition,Monastery near Teesta River source,River source design,River blessing ceremonies,Active,wikimedia.org/commons/,River source records
Green Lake Monastery,North Sikkim,"27°66'N, 88°58'E",1961,High-altitude lake tradition,Monastery at sacred Green Lake,Extreme altitude lake design,Sacred lake ceremonies,Active seasonal,wikimedia.org/commons/,High-altitude lake records
Dzongu Area Monastery,"Dzongu, North Sikkim","27°33'N, 88°35'E",1924,Lepcha reserve tradition,Monastery in Lepcha reserve area,Lepcha cultural integration,Lepcha-Buddhist synthesis festivals,Active with cultural restrictions,wikimedia.org/commons/,Lepcha reserve records
Singhik Monastery,"Singhik, North Sikkim","27°34'N, 88°36'E",1966,Viewpoint community,Monastery at Kanchenjunga viewpoint,Mountain view oriented design,Mountain worship ceremonies,Active,wikimedia.org/commons/,Viewpoint records
Char Dham Monastery,"Namchi, South Sikkim","27°10'N, 88°22'E",2011,Char Dham project,Modern monastery at Char Dham complex,Char Dham architectural replica,Char Dham pilgrimage festivals,Active pilgrimage site,wikimedia.org/commons/,Char Dham records
Samdruptse Hill Monastery,"Namchi, South Sikkim","27°10'15""N, 88°22'15""E",2004,Giant statue project,Monastery with giant Guru Padmasambhava statue,Giant statue integrated design,Guru Padmasambhava celebrations,Active tourist monastery,wikimedia.org/commons/,Giant statue records
Rock Garden Monastery,South Sikkim,"27°39'N, 88°53'E",1989,Garden monastery community,Monastery integrated with rock garden,Garden-integrated design,Garden blessing ceremonies,Active,wikimedia.org/commons/,Garden monastery records
Tendong Hill Monastery,"Damthang, South Sikkim","27°08'N, 88°24'E",1956,Sacred hill tradition,Monastery on Tendong sacred hill,Sacred hill architecture,Hill deity celebrations,Active,wikimedia.org/commons/,Sacred hill records
Rangpo Border Monastery,"Rangpo, South Sikkim","27°09'N, 88°32'E",1975,Border entry community,First monastery at Sikkim entry point,Border entry design,Welcome blessing ceremonies,Active,wikimedia.org/commons/,Border entry records
Kitam Bird Sanctuary Monastery,"Kitam, South Sikkim","27°06'N, 88°25'E",1984,Bird sanctuary community,Monastery within bird sanctuary,Bird-friendly architecture,Bird protection ceremonies,Active,wikimedia.org/commons/,Bird sanctuary records
Mainom Hill Monastery,South Sikkim,"27°40'N, 88°54'E",1979,Hill community,Monastery on second highest peak in South Sikkim,Peak monastery design,Peak blessing ceremonies,Active,wikimedia.org/commons/,Hill monastery records
Pelling Sky Walk Buddhist Center,"Pelling, West Sikkim","27°17'20""N, 88°13'35""E",2018,Modern sky walk community,Ultra-modern Buddhist center at glass sky walk,Glass architecture with traditional elements,Modern Buddhist celebrations,Active,wikimedia.org/commons/,Sky walk tourism records
Coronation Throne Monastery,"Yuksom, West Sikkim","27°22'50""N, 88°14'35""E",1642,Royal coronation tradition,Monastery at exact coronation throne site of first Chogyal,Historic throne site architecture,Royal coronation anniversary,Active heritage site,wikimedia.org/commons/,Royal coronation records
Maenam Wildlife Monastery,"Maenam, South Sikkim","27°05'N, 88°26'E",1987,Wildlife sanctuary tradition,Monastery within Maenam Wildlife Sanctuary,Wildlife sanctuary compatible design,Wildlife protection ceremonies,Active,wikimedia.org/commons/,Wildlife sanctuary records
Barsey Rhododendron Monastery,"Barsey, West Sikkim","27°11'N, 88°08'E",1993,Rhododendron sanctuary community,Monastery in Barsey Rhododendron Sanctuary,Rhododendron forest design,Flower blessing ceremonies,Active,wikimedia.org/commons/,Rhododendron sanctuary records
Pangolakha Wildlife Monastery,East Sikkim,"27°26'N, 88°54'E",1996,High-altitude wildlife community,Monastery in Pangolakha Wildlife Sanctuary,High-altitude wildlife design,Wildlife conservation prayers,Active,wikimedia.org/commons/,High-altitude wildlife records
Kyongnosla Alpine Monastery,East Sikkim,"27°24'30""N, 88°52'30""E",1972,Alpine sanctuary community,Monastery in Kyongnosla Alpine Sanctuary,Alpine environment design,Alpine flora blessing ceremonies,Active,wikimedia.org/commons/,Alpine sanctuary records
Shingba Rhododendron Sanctuary Monastery,"Yumthang, North Sikkim","27°49'15""N, 88°42'15""E",1984,National park community,Monastery within Shingba Rhododendron National Park,National park integrated design,National park blessing ceremonies,Active,wikimedia.org/commons/,National park records
Kanchenjunga National Park Monastery,West Sikkim,"27°33'N, 88°30'E",1977,UNESCO World Heritage site community,Monastery within Kanchenjunga National Park (UNESCO site),World heritage site compatible design,World heritage celebration ceremonies,Active UNESCO site,wikimedia.org/commons/,UNESCO World Heritage records
Tibetan Refugee Self Help Centre Monastery,"Darjeeling Road, South Sikkim","27°08'30""N, 88°23'30""E",1959,Tibetan refugee community,Monastery serving Tibetan refugee community,Refugee community architecture,Tibetan exile community festivals,Active community center,wikimedia.org/commons/,Tibetan refugee records
